# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
11 Oph b,Confirmed,21.0,3.0,3.0,,,,,,,730000.0,365000.0,365000.0,243.0,55.0,55.0,,,,,,,1.675862,2007,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,Oph 1622-2405 b,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145.0,20.0,20.0,,,,0.0162,0.005,0.005,,,,M9,0.011,0.002,0.002,2375.0,175.0,175.0,,,"Oph 1622-2405, Oph 11A"
14 Her b,Confirmed,9.1,,,5.215,,,,,,1763.3,0.84,0.84,2.845,0.04,0.04,0.369,0.003,0.003,32.7,5.3,5.3,0.153039,2002,2021-11-12,22.78,0.55,0.55,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,90.0,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
14 Her c,Confirmed,6.9,1.0,1.7,,,,,,,52596.0,21185.0,50770.0,27.4,7.9,16.0,0.64,0.13,0.13,101.0,33.0,33.0,0.381215,2006,2021-11-12,15.2,6.0,6.0,9100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Astrometry,,HD 145675 c,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
1RXS 1609 b,Confirmed,14.0,3.0,2.0,,,,1.7,,,,,,330.0,0.0,0.0,,,,,,,2.275862,2008,2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929"
1RXS J235133.3+312720 b,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
2M 0103-55 (AB) b,Confirmed,13.0,1.0,1.0,,,,,,,,,,84.0,,,,,,,,,,2013,2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,H,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156.0,10.0,10.0,,,,,,,,2015,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.841666674,-39.423055569,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064.0,76.0,76.0,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.5,2.5,2.5,,,,,,,,,,15.0,0.6,0.6,,,,,,,0.107143,2010,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140.0,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,
2M 2140+16 b,Confirmed,20.0,20.0,80.0,,,,0.92,0.39,0.39,7340.0,584.0,584.0,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,2012-01-19,223.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25.0,10.0,10.0,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300.0,80.0,80.0,,,
2M 2206-20 b,Confirmed,30.0,20.0,70.0,,,,1.3,0.18,0.18,8686.0,69.4,69.4,4.48,0.4,0.4,0.0,,,44.3,0.7,0.7,0.167979,2010,2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350.0,80.0,80.0,,,
2M 2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230.0,20.0,20.0,,,,,,,3.7,2016,2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",2M 2236+4751,339.104166675,47.861944471,12.5,,,,,63.0,,,,,,0.6,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
2M J2126-81 b,Confirmed,13.3,1.7,1.7,,,,,,,,,,6900.0,,,,,,,,,,2016,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.366666676,-81.64111113,9.0,,,,,24.75,4.25,4.25,,,,0.4,,,,,,M2,0.027,0.017,0.017,,,,,,
2M0437 b,Confirmed,4.0,,,,,,,,,,,,118.0,1.3,1.3,,,,,,,,2021,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0437,69.3405544,26.850296,15.7,,,,,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,,0.0025,0.0004,0.0004,3100.0,100.0,100.0,,,
2M1059-21 b,Confirmed,66.95,4.84,4.41,,,,,,,690.0,3.0,3.4,0.8,0.02,0.01,0.146,0.053,0.074,32.9,3.44,2.94,,2020,2020-05-01,256.0,29.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,2M1059-21,164.962500017,-21.219166673,,,,,,31.81,0.7,0.7,,,,0.81,0.008,0.002,,,,L2,,,,,,,,,
2M1207 A,Confirmed,60.0,20.0,80.0,,,,,,,,,,42.0,2.0,19.0,,,,,,,,2004,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2M1207, 2MASS J12073346-3932539",,,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2M1207 b,Confirmed,5.0,2.0,2.0,,,,,,,,,,42.0,2.0,19.0,,,,,,,0.877863,2004,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",,,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2M1510A a,Confirmed,40.0,3.0,3.0,,,,1.57,1.56,1.57,20.902,0.006,0.006,0.063,0.001,0.001,0.31,0.02,0.02,88.5,0.1,0.1,,2020,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,2MASSW  J1510478-281817 a,,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,
2M1510A b,Confirmed,39.3,3.0,3.0,,,,1.57,1.56,1.57,20.902,0.006,0.006,0.063,0.001,0.001,0.31,0.02,0.02,88.5,0.1,0.1,,2020,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,
2MASS 0359+2009 b,Confirmed,20.0,5.0,5.0,,,,,,,,,,540.0,,,,,,,,,,2019,2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2MASS 0359+2009,59.79166667,20.160000011,,,,,,117.76,2.3,2.3,,,,0.06,0.01,0.01,,,,M4.75,0.0075,0.0025,0.0025,2900.0,50.0,50.0,,,
2MASS J00413538-5621127 B,Confirmed,15.0,,,,,,,,,126.0,37.0,86.0,8.9,1.9,3.7,,,,,,,,2010,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J01225093-2439505 b,Confirmed,24.5,2.5,2.5,,,,,,,,,,52.0,6.0,6.0,,,,,,,,2013,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"WISE J012251.02-243952.0 b, 2M 0122-24 b",,2MASS J01225093-2439505,20.712243,-24.664049,,,10.084,9.47,,36.0,4.0,4.0,,,,0.4,0.05,0.05,,,,M3.5 V,0.12,-0.01,0.01,3530.0,50.0,50.0,,,WISE J012251.02-243952.0
2MASS J11011926-7732383 B,Confirmed,30.0,,,,,,,,,,,,240.0,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J1155-7919 b,Confirmed,10.0,,,,,,,,,,,,582.0,,,,,,,,,,2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14.0,,,,,101.15,0.5,0.5,,,,,,,,,,M3,0.005,,,,,,,,
2MASS J1450-7841 A,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.670833347,-78.693888911,,,,,,75.0,25.0,25.0,,,,0.04,,,,,,M9p,,,,,,,,,
2MASS J1450-7841 B,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675000014,-78.694722245,,,,,,75.0,,,,,,0.04,,,,,,M8p,,,,,,,,,
2MASS J15344984-2952274 B,Confirmed,28.2,1.7,1.7,,,,,,,5550.0,950.0,950.0,2.3,0.3,0.3,0.24,0.16,0.16,84.3,0.8,0.8,,2008,2019-03-21,178.0,10.0,10.0,2456024.0,347.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,Published in a refereed paper,Astrometry,Astrometry,,,,,233.707666683,-29.8742778012,,,,,,15.9,0.27,0.27,,,,,,,,,,,,,,,,,,,
2MASS J155947+440359 b,Confirmed,43.0,9.0,9.0,,,,,,,,,,1101.23,66.35,66.35,,,,,,,,2012,2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J155947+440359,239.945833349,44.066666681,11.8,,,,,44.76,0.4,0.4,,,,,,,,,,M2.0V,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30.0,4.0,11.0,,,,,,,,,,518.0,40.0,40.0,,,,,,,,2017,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.562500005,23.426111127,,,,,,41.5,10.0,10.0,,,,,,,,,,M3,0.15,,,,,,,,
51 Eri b,Confirmed,2.6,0.3,0.3,,,,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2019-10-24,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,2017-01-26,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4.0,2.5,2.5,5793.0,70.0,70.0,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,2017-06-11,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc e,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2022-03-28,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"C2H2, Ca, Ca+, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
AB Aur b,Confirmed,9.0,15.0,17.0,,,,,,,,,,93.9,50.0,50.0,0.4,0.2,0.2,42.6,15.0,15.0,0.708333,2008,2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Aur,73.9416667,30.5511111,7.06,,,,,144.0,,,,,,2.4,0.2,0.2,,,,A0V,0.002,0.001,0.001,,,,,,
AB Dor C b,Confirmed,13.0,1.0,1.0,,,,,,,,,,0.58,,,,,,,,,,2019,2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Dor C,82.433333348,-65.448333354,,,,,,15.8,,,,,,0.072,0.013,0.013,,,,M8,,,,,,,,,
AB Pic b,Confirmed,13.5,0.5,0.5,,,,,,,,,,275.0,,,,,,,,,5.813953,2005,2010-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,0.03,,,5285.0,9.0,10.0,,,
ASASSN-16kr b,Confirmed,42.0,1.0,1.0,,,,1.05,0.01,0.01,0.061285932,1e-09,1e-09,0.003,0.005,0.005,,,,86.4,0.4,0.4,,2021,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,Theoretical,Primary Transit,,,ASASSN-16kr,331.5,-34.24277779,19.0,,,,,160.5,8.0,8.0,,,,0.952,0.018,0.018,0.0083,0.0002,0.0002,,,,,,,,,,
ASASSN-17jf b,Confirmed,60.0,8.0,8.0,,,,1.12,0.04,0.04,0.0567904,7e-07,7e-07,0.0026,0.009,0.009,,,,83.7,0.5,0.5,,2021,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Default,Theoretical,Primary Transit,,,ASASSN-17jf,307.320833339,-43.67222224,20.0,,,,,286.0,100.0,100.0,,,,0.669,0.031,0.031,0.012,0.0004,0.0004,,,,,,,,,,
AU Mic b,Confirmed,0.0368,0.016,0.016,,,,0.3908,0.0161,0.0161,8.463,2e-06,2e-06,0.0645,0.0013,0.0013,0.04,0.026,0.047,89.03,0.12,0.12,,2020,2022-03-04,179.0,125.0,128.0,,,,,,,2458330.39051,0.00015,0.00015,,,,,,,0.16,0.11,0.14,,,,5.8,2.5,2.5,593.0,21.0,21.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
AU Mic c,Confirmed,0.0698,0.0211,0.0211,,,,0.3131,0.0143,0.0143,18.859019,1.6e-06,1.6e-06,0.1101,0.0022,0.0022,0.04,0.026,0.047,88.62,0.18,0.24,,2020,2022-03-04,153.0,94.0,124.0,,,,,,,2458342.22231,0.0005,0.0005,,,,,,,,,,,,,8.5,2.5,2.5,454.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,AU Mic,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,0.022,0.003,0.003,3700.0,100.0,100.0,,,
BD+20 594 b,Confirmed,0.07,0.03,0.03,0.0513,0.019,0.019,0.23,0.01,0.01,41.6855,0.0031,0.0031,0.241,0.019,0.019,0.0,,,89.55,0.14,0.17,,2016,2021-02-05,,,,,,,,,,2457151.9021,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03343623+2035574 b, EPIC 210848071 b, EPIC 210848071.01, K2-56 b, TYC 1242-608-1 b, WISE J033436.26+203556.7 b",,BD+20 594,53.650967,20.599232,11.0,,9.77,9.432,,180.39,1.25,1.25,-0.15,0.05,0.05,1.67,0.4,0.4,1.08,0.06,0.06,G,3.34,1.49,1.95,5766.0,99.0,99.0,,,"2MASS 03343623+2035574, 2MASS J03343623+2035574, EPIC 210848071, K2-56, TYC 1242-608-1, WISE J033436.26+203556.7"
BD+60 1417 b,Confirmed,15.0,5.0,5.0,,,,1.31,0.06,0.06,,,,1662.0,,,,,,,,,,2021,2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,BD+60 1417,190.8875,69.0144,,,,,,44.957,0.027,0.027,,,,1.0,,,0.797,0.051,0.051,,0.1,0.05,0.05,4993.0,124.0,124.0,,,
BLG-1691L b,Confirmed,0.046,0.025,0.037,,,,,,,,,,2.46,0.1,0.1,,,,,,,,2022,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2017-BLG-1691L,263.595833341,-29.284722229,,,,,,7290.0,1330.0,1010.0,,,,0.45,0.25,0.36,,,,,,,,,,,,,KMT-2017-BLG-0752
CD Cet b,Confirmed,0.01244,0.00136,inf,0.01243,0.00135,0.00135,,,,2.2907,0.00012,0.00012,0.0185,0.0013,0.0013,,,,87.48,87.48,0.25,,2020,2020-06-06,,,,2458804.489,0.018,0.018,,,,,,,,,,,,,,,,,,,6.51,0.23,0.23,464.0,18.0,18.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 1057,,CD Cet,48.345833341,4.774722244,12.0,,,,,8.609,0.007,0.007,0.13,0.16,0.16,0.161,0.01,0.01,0.175,0.006,0.006,M5.0,3.0,2.0,2.0,3130.0,51.0,51.0,,,GJ 1057
CD-35 2722 b,Confirmed,31.0,8.0,8.0,,,,,,,,,,67.0,4.0,4.0,,,,,,,3.14554,2011,2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.3300429231,-35.8253322455,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680.0,100.0,100.0,,,
CFBD 1458 B,Confirmed,10.5,4.5,4.5,,,,,,,,,,2.6,0.3,0.3,,,,,,,,2011,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,40.0,40.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"CFBDSIR J1458+1013B, CFBDS1458 B",,,224.620833343,10.228611125,,,,,,23.1,2.4,2.4,,,,,,,,,,,,,,,,,,,
CHXR 73 b,Confirmed,12.0,5.0,8.0,,,,,,,,,,200.0,,,,,,,,,,2006,2014-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,,,,,0.35,0.0,0.0,,,,M3.25,0.002,,,,,,,,
COCONUTS-2 b,Confirmed,6.4,2.0,2.0,,,,1.12,0.04,0.04,,,,6471.0,,,,,,,,,594.0,2021,2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,,,,,4.1,Submitted to a professional journal,Imaging,Spectrum,Flux,WISEPA J075108.79-763449.6 b,,COCONUTS-2A,117.304166671,-76.70194446,11.3,,,,,10.89,0.002,0.002,0.0,0.08,0.08,0.37,0.02,0.02,0.388,0.011,0.011,M3,0.475,0.325,0.325,3406.0,69.0,69.0,,,WISEPA J075108.79-763449.6
CT Cha b,Confirmed,17.0,6.0,6.0,,,,2.2,0.6,0.6,,,,440.0,,,,,,,,,2.666667,2008,2008-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165.0,30.0,30.0,,,,,,,,,,K7,0.002,0.002,0.002,,,,,,
CWISE 0146-0508A b,Confirmed,66.0,10.0,10.0,,,,,,,,,,129.0,,,,,,,,,,2022,2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,CWISE 0146-0508A,26.5467046,-5.1472375,,,,,,41.0,5.0,5.0,,,,0.072,0.006,0.006,,,,L4,5.0,0.45,5.0,1720.0,150.0,150.0,,,
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.50896848,1.1e-07,1.1e-07,0.0254,0.0004,0.0004,0.0,,,83.96,0.18,0.18,5.5e-05,2007,2021-12-21,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,2014-08-29,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.3436,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.0,50.0,50.0,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3.0,inf,nan,5075.0,75.0,75.0,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.8280517,1.2e-06,1.2e-06,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010,2021-12-21,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,
